gateway_ref,amount_inr,status,settled_at
MGW7300000006,112500.00,SUCCESS,2026-08-10T11:00:00+05:30
MGW7300000012,135000.00,SUCCESS,2026-08-11T11:00:00+05:30
MGW7300000023,62000.00,SUCCESS,2026-08-13T11:00:00+05:30
MGW7300000003,51875.00,SUCCESS,2026-08-14T11:00:00+05:30
MGW7300000002,82500.00,SUCCESS,2026-08-15T11:00:00+05:30
MGW7300000004,5000.00,SUCCESS,2026-08-15T11:00:00+05:30
MGW7300000009,31000.00,SUCCESS,2026-08-16T11:00:00+05:30
MGW7300000032,18000.00,SUCCESS,2026-08-21T11:00:00+05:30
MGW7300000035,31000.00,SUCCESS,2026-08-21T11:00:00+05:30
MGW7300000042,31000.00,SUCCESS,2026-08-22T11:00:00+05:30
MGW7300000016,28000.00,SUCCESS,2026-08-23T11:00:00+05:30
MGW7300000021,67500.00,SUCCESS,2026-08-24T11:00:00+05:30
MGW7300000024,5000.00,SUCCESS,2026-08-25T11:00:00+05:30
MGW7300000029,76000.00,SUCCESS,2026-08-25T11:00:00+05:30
MGW7300000033,173000.00,SUCCESS,2026-08-26T11:00:00+05:30
MGW7300000007,112500.00,SUCCESS,2026-08-27T11:00:00+05:30
MGW7300000026,18000.00,SUCCESS,2026-08-31T11:00:00+05:30
MGW7300000017,3000.00,SUCCESS,2026-09-04T11:00:00+05:30
MGW7300000027,173000.00,SUCCESS,2026-09-05T11:00:00+05:30
MGW7300000036,28000.00,SUCCESS,2026-09-07T11:00:00+05:30
MGW7300000043,86500.00,SUCCESS,2026-09-08T11:00:00+05:30
MGW7300000040,41500.00,SUCCESS,2026-09-09T11:00:00+05:30
MGW7300000019,24000.00,SUCCESS,2026-09-10T11:00:00+05:30
MGW7300000022,31000.00,SUCCESS,2026-09-10T11:00:00+05:30
MGW7300000028,86500.00,SUCCESS,2026-09-10T11:00:00+05:30
MGW7300000013,41500.00,SUCCESS,2026-09-11T11:00:00+05:30
MGW7300000030,76000.00,SUCCESS,2026-09-11T11:00:00+05:30
MGW7300000014,112500.00,SUCCESS,2026-09-14T11:00:00+05:30
MGW7300000034,86500.00,SUCCESS,2026-09-18T11:00:00+05:30
MGW7300000037,48000.00,SUCCESS,2026-09-19T11:00:00+05:30
MGW7300000041,112500.00,SUCCESS,2026-09-19T11:00:00+05:30
MGW7300000008,76000.00,SUCCESS,2026-09-20T11:00:00+05:30
MGW7300000011,24000.00,SUCCESS,2026-09-20T11:00:00+05:30
MGW7300000001,41500.00,SUCCESS,2026-09-21T11:00:00+05:30
MGW7300000020,41500.00,SUCCESS,2026-09-21T11:00:00+05:30
MGW7300000005,86500.00,SUCCESS,2026-09-22T11:00:00+05:30
